Date,Ibirapuera,Pinheiros
April 22, 2017,1348,1511
April 23, 2017,1292,1412
April 24, 2017,1418,1560
April 25, 2017,839,849
April 26, 2017,954,1181
April 27, 2017,1335,1612
April 28, 2017,689,755
April 29, 2017,1483,1705
April 30, 2017,2036,2227
May 1, 2017,1230,1417
May 2, 2017,1264,1463
May 3, 2017,1367,1542
May 4, 2017,431,484
May 5, 2017,866,899
May 6, 2017,1660,1735
May 7, 2017,1261,1492
May 8, 2017,1432,1696
May 9, 2017,1299,1522
May 10, 2017,1163,1315
May 11, 2017,1218,1450
May 12, 2017,1070,1171
May 13, 2017,802,940
May 14, 2017,1276,1442
May 15, 2017,1414,1485
May 16, 2017,1215,1359
May 17, 2017,920,1019
May 18, 2017,306,362
May 19, 2017,747,820
May 20, 2017,278,303
May 21, 2017,788,884
May 22, 2017,1330,1555
May 23, 2017,1255,1363
May 24, 2017,1326,1597
May 25, 2017,1273,1426
May 26, 2017,831,939
May 27, 2017,1562,1683
May 28, 2017,1289,1505
May 29, 2017,1180,1277
May 30, 2017,1365,1514
May 31, 2017,1084,1176
June 1, 2017,1115,1337
June 2, 2017,941,1050
June 3, 2017,1983,2346
June 4, 2017,683,596
June 5, 2017,520,665
June 6, 2017,1066,1185
June 7, 2017,1345,1444
June 8, 2017,897,1007
June 9, 2017,885,979
June 10, 2017,1742,1860
June 11, 2017,1124,1241
June 12, 2017,382,404
June 13, 2017,1051,1154
June 14, 2017,1275,1268
June 15, 2017,789,875
June 16, 2017,975,1016
June 17, 2017,1964,1970
June 18, 2017,1171,1263
June 19, 2017,839,960
June 20, 2017,990,1111
June 21, 2017,1159,1319
June 22, 2017,1121,1246
June 23, 2017,944,1097
June 24, 2017,1974,2104
June 25, 2017,1257,1386
June 26, 2017,1312,1493
June 27, 2017,1263,1473
June 28, 2017,1278,1482
June 29, 2017,1260,1379
June 30, 2017,556,607
July 1, 2017,696,765
July 2, 2017,1001,1083
July 3, 2017,1095,1162
July 4, 2017,1050,1204
July 5, 2017,1040,1233
July 6, 2017,947,1062
July 7, 2017,886,979
July 8, 2017,1833,1929
July 9, 2017,1061,1210
July 10, 2017,1357,1480
July 11, 2017,1208,1351
July 12, 2017,1092,1263
July 13, 2017,1092,1245
July 14, 2017,971,1047
July 15, 2017,1822,2002
July 16, 2017,1216,1341
July 17, 2017,702,788
July 18, 2017,716,838
July 19, 2017,1001,1104
July 20, 2017,1023,1163
July 21, 2017,927,1025
July 22, 2017,1894,2119
July 23, 2017,1217,1341
July 24, 2017,1327,1511
July 25, 2017,1349,1492
July 26, 2017,1184,1354
July 27, 2017,1085,1254
July 28, 2017,1025,1149
July 29, 2017,2115,2278
July 30, 2017,1230,1375
July 31, 2017,1308,1554
August 1, 2017,1329,1484
August 2, 2017,1061,1248
August 3, 2017,886,1007
August 4, 2017,563,619
August 5, 2017,1799,1901
August 6, 2017,1337,1482
August 7, 2017,1517,1666
August 8, 2017,1480,1728
August 9, 2017,1260,1366
August 10, 2017,1276,1386
August 11, 2017,930,1076
August 12, 2017,1400,1473
August 13, 2017,1402,1519
August 14, 2017,828,907
August 15, 2017,777,913
August 16, 2017,588,695
August 17, 2017,741,855
August 18, 2017,196,208
August 19, 2017,512,496
August 20, 2017,661,750
August 21, 2017,1081,1202
August 22, 2017,1263,1420
August 23, 2017,1309,1505
August 24, 2017,1255,1431
August 25, 2017,1075,1146
