Date,R. Vergueiro Bicicleta Bairro,R. Vergueiro Bicicleta Centro
May 24, 2018,1030,1099
May 25, 2018,1066,1078
May 26, 2018,969,971
May 27, 2018,1300,1376
May 28, 2018,1517,1559
May 29, 2018,1248,1310
May 30, 2018,957,1032
May 31, 2018,950,952
June 1, 2018,821,845
June 2, 2018,303,264
June 3, 2018,810,828
June 4, 2018,868,868
June 5, 2018,950,980
June 6, 2018,677,724
June 7, 2018,780,877
June 8, 2018,723,664
June 9, 2018,667,755
June 10, 2018,1088,1145
June 11, 2018,1011,1081
June 12, 2018,773,762
June 13, 2018,703,742
June 14, 2018,642,692
June 15, 2018,479,475
June 16, 2018,350,477
June 17, 2018,846,889
June 18, 2018,1056,1159
June 19, 2018,1023,1092
June 20, 2018,1042,1137
June 21, 2018,859,940
June 22, 2018,745,755
June 23, 2018,732,774
June 24, 2018,1002,1092
June 25, 2018,1061,1135
June 26, 2018,1024,978
June 27, 2018,972,1045
June 28, 2018,1013,1110
June 29, 2018,736,745
June 30, 2018,743,713
July 1, 2018,983,1062
July 2, 2018,984,1058
July 3, 2018,1002,990
July 4, 2018,1012,1038
July 5, 2018,880,903
July 6, 2018,623,650
July 7, 2018,826,795
July 8, 2018,582,607
July 9, 2018,650,690
July 10, 2018,631,677
July 11, 2018,792,817
July 12, 2018,723,767
July 13, 2018,755,793
July 14, 2018,704,825
July 15, 2018,993,985
July 16, 2018,1087,1156
July 17, 2018,1051,1084
July 18, 2018,1161,1205
July 19, 2018,917,961
July 20, 2018,679,700
July 21, 2018,656,624
July 22, 2018,950,947
July 23, 2018,911,1134
July 24, 2018,914,1010
July 25, 2018,1011,1138
July 26, 2018,922,1043
July 27, 2018,773,855
July 28, 2018,807,767
July 29, 2018,816,851
July 30, 2018,520,567
July 31, 2018,479,477
August 1, 2018,635,683
August 2, 2018,350,379
August 3, 2018,594,727
August 4, 2018,396,432
August 5, 2018,276,289
August 6, 2018,765,836
August 7, 2018,935,1290
August 8, 2018,885,1109
August 9, 2018,844,1125
August 10, 2018,774,1065
August 11, 2018,489,634
August 12, 2018,878,993
August 13, 2018,1033,1386
August 14, 2018,866,876
August 15, 2018,699,741
August 16, 2018,663,729
August 17, 2018,747,912
August 18, 2018,898,1046
August 19, 2018,975,1320
August 20, 2018,1188,1422
August 21, 2018,971,1160
August 22, 2018,1148,1374
August 23, 2018,954,1173
August 24, 2018,573,861
August 25, 2018,331,347
August 26, 2018,783,868
August 27, 2018,1042,1493
August 28, 2018,1104,1714
August 29, 2018,1077,1504
August 30, 2018,1110,1549
August 31, 2018,830,1309
September 1, 2018,921,1044
September 2, 2018,806,999
September 3, 2018,584,846
September 4, 2018,747,744
September 5, 2018,830,1223
September 6, 2018,734,1262
September 7, 2018,665,1126
September 8, 2018,777,1016
September 9, 2018,943,1521
September 10, 2018,1075,1235
September 11, 2018,1002,1134
September 12, 2018,976,1214
September 13, 2018,281,306
September 14, 2018,558,605
September 15, 2018,655,1008
September 16, 2018,544,589
September 17, 2018,1103,1330
September 18, 2018,1080,1202
September 19, 2018,677,818
September 20, 2018,887,1101
September 21, 2018,991,1683
September 22, 2018,1036,1693
September 23, 2018,1087,2083
September 24, 2018,1254,1522
September 25, 2018,1050,1348
September 26, 2018,882,1091
September 27, 2018,746,890
September 28, 2018,755,1134
September 29, 2018,568,621
September 30, 2018,797,972
October 1, 2018,1217,1875
October 2, 2018,901,1381
October 3, 2018,983,1136
October 4, 2018,711,813
