Data Medicao	EVAPORACAO DO PICHE, DIARIA(mm)	INSOLACAO TOTAL, DIARIO(h)	PRECIPITACAO TOTAL, DIARIO(mm)	TEMPERATURA MAXIMA, DIARIA(°C)	TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)	TEMPERATURA MINIMA, DIARIA(°C)	UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)	VENTO, VELOCIDADE MEDIA DIARIA(m/s)
2016-09-10	2.4	9.2	0	27	19.48	15.3	75.5	3.4
2016-09-11	2.7	8.1	0	29.1	20.94	16.4	73.5	3.966667
2016-09-12	2.7	9.2	0	31	25.76	16.2	39.5	1.533333
2016-09-13	7.3	8.6	0	32	25.82	18.5	32.75	2.433333
2016-09-14	13.2	1.8	0	27.8	23.9	21.7	49.75	3.166667
2016-09-15	7.8	10.5	0	24.5	17.44	14.1	65	3.233333
2016-09-16	4	0	0	19.6	15.76	12.2	79.5	3.3
2016-09-17	2.3	7.1	0	28.4	19.44	13.8	76.75	2.1
2016-09-18	2.7	8	0	33	21.44	16.4	75.25	1.866667
2016-09-19	5	6.6	7	26.8	19.56	15.6	82.25	3
2016-09-20	2.3	0	0	18.2	14.48	12	77.5	3.033333
2016-09-21	1.6	6.5	0	20	15.06	10.5	70	3.833333
2016-09-22	3	7.2	0	23.4	16.84	12.4	69.5	3.6
2016-09-23	3.4	10.5	0	29.5	19.14	13.6	73.25	2.5
2016-09-24	4	0	0	20	16.5	13.8	81	3.4
2016-09-25	1.5	0.2	0	16.6	14.36	12.4	86.75	3
2016-09-26	1	4.2	0.2	20.4	15.16	11.8	75.75	2.6
2016-09-27	2.5	9.3	0	23.4	16.18	10.8	66	3.866667
2016-09-28	4	8.9	0	27.8	18.72	13.2	70.75	2.5
2016-09-29	4	9.8	0	26.6	18.58	13.2	69.5	3.566667
2016-09-30	4.8	4.9	0	22.2	16.64	13.5	79.25	4.4
2016-10-01	2.8	0.9	0	20.2	16.3	12.9	81	3.866667
2016-10-02	2.6	5.9	0	23.8	18.26	14.7	74.75	3.9
2016-10-03	3.4	0	0	17.2	16.74	15.6	90	1.35
2016-10-04	0.7	2.7	14.6	22.9	17.82	15.3	90	2.75
2016-10-05	2.1	7	4.3	21.4	17.08	13.8	80	2.8
2016-10-06	3.2	8.4	0	25.3	18.34	14.7	79	2.7
2016-10-07	5.3	2	0	21	16.5	12.8	75	2.5
2016-10-08	3.3	11.1	0	27.8	19.94	12.5	55	1.9
2016-10-09	6.1	10	0	23.7	18.94	15	77	3.25
2016-10-10	3.6	2.7	0	22.6	17.72	14.6	79	4.55
2016-10-11	2.7	2.3	0	23.9	18.34	14.4	85	2.25
2016-10-12	2.3	9.4	0.8	30.6	21.36	15	75	1.65
2016-10-13	5	3.3	2.6	29.4	21.1	17	89	1.95
2016-10-14	3.6	3.4	22	26.4	21.74	17.1	90	2.1
2016-10-15	3.2	5.2	0.2	29	22.28	18.2	86	2.05
2016-10-16	2.7	8.3	0	32.3	25.48	18.4	65	1.95
2016-10-17	5.5	7.9	0	35	25.4	19	73	0.8
2016-10-18	13.4	6.2	6.2	33.3	25.76	19.7	73	1.2
2016-10-19	5	10.5	11	35.9	28.32	19.3	57	1.55
2016-10-20	6.9	7.5	4.6	33.8	24.7	20.2	78	3.15
2016-10-21	4.6	0.9	4.4	23.4	19.98	17.7	85	2.95
2016-10-22	2.2	0	0	20.9	18.46	16.4	85	2.75
2016-10-23	2	8.1	0	28.3	21.42	16.7	77.5	3.466667
2016-10-24	2.9	6.6	0	31	22.96	18.6	76.5	2.466667
2016-10-25	2.9	0	8.6	22.2	20.94	18.7	90	2.666667
2016-10-26	1.4	7.5	5	30.2	24.16	19	44.5	2.6
2016-10-27	4.6	4.4	16.6	27.3	22.02	18.2	69.75	4.1
2016-10-28	5.4	9.5	3.2	24.9	17.16	13.5	67.5	3.166667
2016-10-29	3.6	8.8	0	22.8	16.84	11.6	68.25	3.833333
2016-10-30	4.5	6.3	0	24	18.04	14.6	76.25	3.666667
2016-10-31	3.1	8.6	0	29.7	21.34	16.2	72.5	2.566667
2016-11-01	5.4	9	0	30.2	24.28	17.8	57.5	3.4
2016-11-02	7.7	7	0	31.7	24.94	20.8	59.75	4
2016-11-03	7.4	0	7	23.2	18.62	16	90	2.8
2016-11-04	1.7	0	2.5	19.4	17.16	15.6	87.75	2.366667
2016-11-05	1.5	0	0.8	21.3	17.76	14.7	83.5	3.866667
2016-11-06	1.9	3.7	0	27.2	20.2	16	82.25	3
2016-11-07	2	6.2	35.4	27.8	21.04	15.9	77.75	2.633333
2016-11-08	2.9	8.5	0.4	29	21.78	15.8	72.75	2.166667
2016-11-09	4.2	8.5	0	31	21.68	16.2	73	3.7
2016-11-10	5.3	10.7	36	30.1	23.18	16.5	69	4.233333
2016-11-11	5.5	9.1	0	32.6	24.94	18.4	66	3.3
2016-11-12	5	0	3.4	24.4	19.54	16.5	84.75	4.4
2016-11-13	2	0	8.8	18.9	17.86	16.2	94	3.3
2016-11-14	1	0	21.7	22.6	18.86	16.3	87.25	3.033333
2016-11-15	1.5	1.3	0.1	23.7	19.94	16.8	80	2.566667
2016-11-16	1.8	9.1	1	29.4	21.12	16.3	76.75	1.533333
2016-11-17	4.9	7.6	17	30.8	22.84	17.4	69.25	1.333333
2016-11-18	4.1	0.6	0	21.4	16.44	14	84.25	4.133333
2016-11-19	2.5	6.8	0	19.4	15.5	12.2	63.75	4.266667
2016-11-20	4.2	10.9	0	25	17.46	11.3	69	3.133333
2016-11-21	8	11	0	29.2	21.58	13.3	42.5	2.1
2016-11-22	8.7	4.9	0	26.5	20.68	17.3	75	3.3
2016-11-23	3.7	3.7	3.4	26.9	20.58	17	84.5	2.533333
2016-11-24	2.7	6.6	0	26.8	21.68	17.5	70.75	2.733333
2016-11-25	6.5	6.7	1	29.3	22.4	18.5	76.75	3.6
2016-11-26	3.8	7.7	0	30.6	22.94	17.6	76	2.666667
2016-11-27	3.1	6.7	0	31.1	24.08	19	73.5	2.066667
2016-11-28	4.6	4.1	0.1	31.8	25.18	21.1	69	2.1
2016-11-29	3.9	0.1	27	24.9	19.5	16.2	86.75	2.466667
2016-11-30	2.1	0	1.2	19.3	16.74	13.8	80.5	3.566667
2016-12-01	3.7	0.4	0	22.3	18.56	14.6	75.75	3.066667
2016-12-02	3.3	5.9	0	28.8	21.2	16.6	77.25	2.2
2016-12-03	3.8	4.9	0	29.9	22.18	18	76.5	2.733333
2016-12-04	5	9.8	15.6	29.9	21.6	17.6	67.25	3.766667
2016-12-05	6.2	10.2	6.8	28	20.2	15.3	67.25	3.566667
2016-12-06	6.7	12.5	0	30.6	23.06	15.1	52	2.2
2016-12-07	8.7	7.3	0	31.2	23.86	17.9	65.75	1.4
2016-12-08	7	8.7	0	31.6	24.7	19.1	61.75	2.966667
2016-12-09	7.1	3.8	0	29.8	23.72	20.5	76.5	3.133333
2016-12-10	4.2	6.2	0.6	30.6	24.28	20.4	74.25	2.533333
2016-12-11	4	1.4	6	28.5	23.72	20.9	87.5	2.766667
2016-12-12	2.1	0	14.6	23.5	21.34	18.8	89.5	1.733333
2016-12-13	6.8	6.6	40.5	31.4	25.56	18.8	64.75	2.466667
2016-12-14	4.8	1.3	0	26.2	21.48	18.6	77.25	4.233333
2016-12-15	2.7	0	0.1	19.8	16.58	14.8	78.75	3.3
2016-12-16	0.7	2.5	0	23.1	18.26	13.6	73	4.466667
2016-12-17	8.7	10.6	0	28.2	21.34	15.5	73	3.033333
2016-12-18	5	5.6	0	28.8	21.32	15.4	72	4.666667
2016-12-19	3.2	6.8	57.8	29.4	21.8	15.4	72	1.9
2016-12-20	5.3	4.7	0	31.1	23.54	17.6	69.25	4.133333
2016-12-21	4.1	7.7	5	30.2	22.86	17.5	69	1.966667
2016-12-22	5	8	1.5	30.8	24.16	19	68.25	4.133333
2016-12-23	6.1	6.5	0	33.9	24.16	19.6	68.25	1.866667
2016-12-24	5.3	8.4	15.8	32.6	25.52	19	53.75	2.633333
2016-12-25	6.9	9.7	0	31	25.32	20.4	68	2.8
2016-12-26	4.5	12.5	0	34.4	28.4	20.3	44.25	1.466667
2016-12-27	8	9.8	0	33.8	27.7	23.7	54.75	2.733333
2016-12-28	7.6	8.7	0	33	26.48	22.5	62	1.366667
